nombre,descripcion,sentido,unidad_medida,fecha_creacion,fecha_ult_modif,derecho_cdmx,ods,instrumento,frecuencia,dimension,fuente_inst,fuente,url_fuente,url_csv
indice de gini,coeficiente que determina la igualdad en la distribucion de ingresos al comparar el acumulado de la poblacion sobre el acumulado de los ingresos en la ciudad de mexico. varia entre 0 (minima desigualdad) y 1 (maxima desigualdad).,descendente,indice,2023-10-19 19:00:50.836342,2024-04-16 16:58:52.386267,derecho a la vida digna,reduccion de las desigualdades,visor cdmx,bienal,eficacia,coneval,"coneval, indicadores de cohesion social",https://www.coneval.org.mx/medicion/paginas/cohesion_social.aspx,https://indicadores.cdmx.gob.mx/dataset/b0cfbf6a-f922-45bc-ae63-0c6b3a5f5103/resource/7bc93085-0f13-4427-8fdc-ff0b490f0527/download/historico-visor-indice-de-gini.csv
inflacion,"inflacion internanual.

el indice nacional de precios al consumidor (inpc) mide la variacion de los precios de una canasta fija de bienes y servicios a lo largo del tiempo. como parte del “ciclo de actualizacion de la informacion economica”, el inegi actualizo el año base del indice nacional de precios al consumidor (inpc) a la segunda quincena de julio de 2018.",descendente,porcentaje,2023-10-19 18:59:12.278650,2024-12-09 16:44:19.502561,no vinculado,trabajo decente y crecimiento economico,visor cdmx,mensual,,inegi,"inegi, inpc",https://www.inegi.org.mx/temas/inpc/,https://indicadores.cdmx.gob.mx/dataset/234b19b0-fb89-4616-84ec-e7f4f9c70ce7/resource/6c4e5a6b-b07e-4244-a06f-75266dd0e50c/download/historico-visor-inflacion-interanual-2.csv
escala de consideracion de que existe discriminacion,"escala (0 a 10) de consideracion de que existe discriminacion, donde 0 significa que no hay nada de discriminacion, y 10 que si hay mucha.",descendente,escala,2023-10-17 19:05:39.472753,2023-10-17 19:05:39.445110,derecho a una vida libre de todo tipo de violencia o discriminacion,reduccion de las desigualdades,pgd,cuatrienal,calidad,copred,encuesta sobre discriminacion en la ciudad de mexico (edis),https://www.copred.cdmx.gob.mx/edis-cdmx,https://indicadores.cdmx.gob.mx/dataset/2590c29b-c759-4997-b68b-888def814422/resource/1549daa4-753e-42e9-9e06-443b102fbe16/download/historico-escala-de-consideracion-de-que-existe-discriminacion.csv
acceso integral al agua y al saneamiento basico,porcentaje de la poblacion de la cdmx con: 1) servicio de agua potable entubada en su vivienda o terreno y con dotacion diaria; 2) conexion a la red de drenaje o fosa septica; y 3) excusado exclusivo en la vivienda.,ascendente,porcentaje,2023-10-17 19:05:55.999160,2024-06-18 18:42:04.550934,derecho al agua y a su saneamiento,agua limpia y saneamiento,pgot,bienal,eficacia,inegi,"inegi, encuesta nacional de ingresos y gastos de los hogares (enigh)",https://www.inegi.org.mx/programas/enigh/nc/2020/#microdatos,https://indicadores.cdmx.gob.mx/dataset/baf160ff-6890-44ec-8d3e-8f0745bd037e/resource/19728564-0253-4c2b-8d83-3e9e5fb84ab3/download/historico-acceso-integral-al-agua-y-al-saneamiento-basico.csv
numero de accidentes anuales causados por factores naturales y ambientales,"total de accidentes anuales causados por factores naturales y ambientales, ocurridos a habitantes de la cdmx.",descendente,numero,2023-10-17 19:06:40.178759,2024-04-11 20:12:59.949635,derecho a la seguridad urbana y a la proteccion civil,ciudades y comunidades sostenibles,pgd,anual,eficacia,inegi,"inegi, estadisticas de mortalidad",https://www.inegi.org.mx/programas/edr/#microdatos,https://indicadores.cdmx.gob.mx/dataset/e5abd92f-52b0-4390-b504-5e0abfa59cda/resource/861a4cd3-3bae-43ae-8dfd-a0489ed18efc/download/historico-numero-de-accidentes-anuales-causados-por-factores-naturales-y-ambientales.csv
adolescentes en actividades de prevencion en los centros de atencion primaria en adicciones,total de adolescentes de 12 a 17 años que participan en actividades de prevencion en los centros de atencion primaria en adicciones (capa).,ascendente,registros administrativos,2023-10-17 19:06:49.517219,2023-10-17 19:06:49.489902,derecho a la salud,salud y bienestar,pgd,anual,eficacia,conadic,"salud, conadic (a traves de datos abiertos)",https://datos.gob.mx/busca/dataset/adolescentes-de-12-a-17-anos-en-actividades-de-prevencion-en-los-centros-de-atencion-primaria-e,https://indicadores.cdmx.gob.mx/dataset/633af9d0-5dbd-4cb9-8271-abb460d5a4d8/resource/335730ec-f1e3-43fa-9ecb-23286be2c329/download/historico-adolescentes-en-actividades-de-prevencion-en-los-centros-de-atencion-primaria-en-adic.csv
afiliacion de personas con discapacidad a servicios de salud,"porcentaje de personas afiliadas a  servicios de salud, respecto del total de personas con discapacidad.",ascendente,porcentaje,2023-10-17 19:07:22.256132,2023-11-09 20:25:21.166923,derechos de personas con discapacidad,reduccion de las desigualdades,pgd,decenal,eficacia,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/#microdatos,https://indicadores.cdmx.gob.mx/dataset/3ede9a7f-8a48-4e91-808a-9d23fb849526/resource/5550a5aa-aa30-4d84-915e-77abd40c795e/download/historico-afiliacion-de-personas-con-discapacidad-a-servicios-de-salud.csv
agua no contabilizada a (agua producida no facturada),"determina el proporcion del volumen de agua que se pierde debido a la existencia de fugas en la red, errores de medicion, tomas no registradas en el padron de usuarios y clandestinaje, respecto al agua potable producida",descendente,porcentaje,2023-10-17 19:06:57.739999,2023-10-17 19:06:57.712401,derecho al agua y a su saneamiento,agua limpia y saneamiento,pgot,anual,eficacia,sacmex,pgirh,no disponible,https://indicadores.cdmx.gob.mx/dataset/fc269adc-9b1e-4aaf-b5e5-25f174f63ad6/resource/455d8285-b5f3-483d-ba12-ccc44bf01fde/download/historico-agua-no-contabilizada-a-agua-producida-no-facturada.csv
agua potable perdida por fugas en las redes de agua potable,este indicador busca conocer el grado de atencion y reparacion de fugas del sistema de redes de agua potable para garantizar que un mayor porcentaje se destine a su uso primario.,descendente,porcentaje de agua perdida por fugas,2023-10-17 19:07:32.297624,2023-10-17 19:07:32.272000,derecho al agua y a su saneamiento,agua limpia y saneamiento,pgot,anual,eficacia,sacmex (solicitud de informacion),"sacmex, solicitud de informacion",https://data.sacmex.cdmx.gob.mx/repositorio/art121/xxii/inter/especificaciones_poa.pdf,https://indicadores.cdmx.gob.mx/dataset/f7e70474-a23c-47b5-9f9f-43d5a468c841/resource/756ef999-ca99-4646-bf19-4dc9c2b4167f/download/historico-porcentaje-de-agua-potable-perdida-por-fugas-en-las-redes-de-agua-potable-1.csv
agua renovable anual per capita,se denomina agua renovable a la cantidad maxima de agua que es factible explotar anualmente en un pais sin alterar el ecosistema y que se renueva por medio de la lluvia.,ascendente,metros cubicos por habitante,2023-10-17 19:06:47.135405,2024-06-06 17:13:26.416850,derecho al agua y a su saneamiento,agua limpia y saneamiento,pgot,anual,eficacia,conagua,"conagua, sina",https://sinav30.conagua.gob.mx:8080/sina/?opcion=aguasr,https://indicadores.cdmx.gob.mx/dataset/cbeda054-366b-40d2-8661-9cbc3193ce0c/resource/463c10ba-fc65-4b52-b278-974e6cf8d600/download/historico-agua-renovable-anual-per-capita.csv
ahorros generados en compras publicas consolidadas,"porcentaje de ahorro en los distintos rubros del gasto: radiocomunicacion digital; compras insumos para prevenir covid-19; vestuario operativo, calzado operativo, equipo de lluvia y proteccion; toner; llantas; vales complementarios; hardware y software; vales fin de año; programa de aseguramiento; combustible; radiocomunicacion digital.",ascendente,porcentaje,2023-10-17 19:06:15.692915,2023-12-06 18:47:48.984824,derecho a la buena administracion publica,"paz, justicia e instituciones solidas",pgd,anual,calidad,gob cdmx,"gob cdmx, quinto informe de gobierno",https://informedegobierno.cdmx.gob.mx/documentos/,https://indicadores.cdmx.gob.mx/dataset/9b18ac02-c1d6-4bd5-b947-b698f215a518/resource/05397630-1e11-41ac-b58d-50a13c43f83d/download/historico-ahorros-generados-en-compras-publicas-consolidadas.csv
alcaldias con atlas de riesgo actualizados (hasta 5 años) por sgrip y cenapred,suma de los atlas de riesgo de cada alcaldia con una fecha de elaboracion menor o igual a 5 años respecto a la fecha de evaluacion de conformidad sgrip y  cenapred.,estacionaria,atlas de riesgos,2023-10-17 19:07:01.098109,2023-10-17 19:07:01.072279,derecho a la seguridad urbana y a la proteccion civil,ciudades y comunidades sostenibles,pgot,anual,eficacia,sgripc,sgirpc (unidad de gestion integral de riesgos y proteccion civil),https://serviciosatlas.sgirpc.cdmx.gob.mx/portal/apps/sites/#/alcaldias,https://indicadores.cdmx.gob.mx/dataset/0702535c-513d-4491-8ee0-10f0f80784d8/resource/f1cb0528-a10e-4105-9e9c-d03288c6579b/download/historico-numero-de-alcaldias-con-atlas-de-riesgo-actualizados-hasta-5-anos-sgrip-y-cenapred.csv
alumnos inscritos en escuelas publicas de alvaro obregon,"numero de alumnos inscritos en escuelas publicas de nivel basico, medio superior y superior que se encuentran en la alcaldia.",ascendente,numero,2024-08-23 19:22:14.799867,2024-08-23 19:22:14.783754,derecho a la educacion,educacion de calidad,visor alcaldias,anual,,sep,"sep, dgppee",https://www.planeacion.sep.gob.mx/,https://indicadores.cdmx.gob.mx/dataset/e728d55e-8aaa-49f2-9ee3-93b18656ad65/resource/ad903590-551b-4378-bb58-35359d38e771/download/historicodetalle-matricula-publicabasica-10.csv
alumnos inscritos en escuelas publicas de benito juarez,"numero de alumnos inscritos en escuelas publicas de nivel basico, medio superior y superior que se encuentran en la alcaldia.",ascendente,numero,2024-08-23 20:01:42.118772,2024-08-23 20:01:42.102677,derecho a la educacion,educacion de calidad,visor alcaldias,anual,eficacia,sep,"sep, dgppee",https://www.planeacion.sep.gob.mx/,https://indicadores.cdmx.gob.mx/dataset/dd071e6a-ab68-4129-825f-7c887bf524ce/resource/aacdc1ee-9d8d-4009-a558-3dfa78c2f588/download/historicodetalle-matricula-publicabasica-14.csv
alumnos inscritos en escuelas publicas de cuauhtemoc,"numero de alumnos inscritos en escuelas publicas de nivel basico, medio superior y superior que se encuentran en la alcaldia.",ascendente,numero,2024-08-23 20:09:00.041917,2024-08-23 22:00:45.344223,derecho a la educacion,educacion de calidad,visor alcaldias,anual,eficacia,sep,"sep, dgppee",https://www.planeacion.sep.gob.mx/,https://indicadores.cdmx.gob.mx/dataset/51679892-79c1-4fea-817c-b9d048dd584a/resource/ebe36f37-5d86-4c5f-be5b-68da93471f98/download/historico-matricula-publicabasica-15.csv
alumnos inscritos en escuelas publicas de miguel hidalgo,"numero de alumnos inscritos en escuelas publicas de nivel basico, medio superior y superior que se encuentran en la alcaldia.",ascendente,numero,2024-08-23 22:02:35.272973,2024-08-23 22:02:35.256940,derecho a la educacion,educacion de calidad,visor alcaldias,anual,eficacia,sep,"sep, dgppee",https://www.planeacion.sep.gob.mx/,https://indicadores.cdmx.gob.mx/dataset/f0d2bf44-abfa-43aa-ae86-803941b1dec8/resource/c55ed468-e7ca-401c-afce-3b518186230c/download/historico-matricula-publicabasica-16.csv
alumnos inscritos en escuelas publicas de tlahuac,"numero de alumnos inscritos en escuelas publicas de nivel basico, medio superior y superior que se encuentran en la alcaldia.",ascendente,numero,2024-08-23 19:31:02.032917,2024-08-23 19:31:02.017126,derecho a la educacion,educacion de calidad,visor alcaldias,anual,eficacia,sep,"sep, dgppee",https://www.planeacion.sep.gob.mx/,https://indicadores.cdmx.gob.mx/dataset/07b2fc9a-7f1f-400a-876d-84859f849c5c/resource/3779e552-0c64-4383-821b-2de611791dfb/download/historico-matricula-publicabasica-11.csv
alumnos inscritos en escuelas publicas de venustiano carranza,"numero de alumnos inscritos en escuelas publicas de nivel basico, medio superior y superior que se encuentran en la alcaldia.",ascendente,numero,2024-08-23 22:08:28.566207,2024-08-23 22:08:28.551184,derecho a la educacion,educacion de calidad,visor alcaldias,anual,eficacia,sep,"sep, dgppee",https://www.planeacion.sep.gob.mx/,https://indicadores.cdmx.gob.mx/dataset/5d77e6fa-35fa-4ce1-99bf-4d4e8b797e9f/resource/751bb2ba-aa30-4996-aff2-26ee8bd18f30/download/historicodetalle-matricula-publicabasica-17.csv
alumnos inscritos en escuelas publicas de xochimilco,"numero de alumnos inscritos en escuelas publicas de nivel basico, medio superior y superior que se encuentran en la alcaldia.",ascendente,numero,2024-08-23 19:54:53.237299,2024-08-23 19:54:53.219703,derecho a la educacion,educacion de calidad,visor alcaldias,anual,eficacia,sep,"sep, dgppee",https://www.planeacion.sep.gob.mx/,https://indicadores.cdmx.gob.mx/dataset/8bb9085d-58e9-4192-946c-72f9af178cf9/resource/ac9bbbd5-115e-4c46-91fa-a91da52a2535/download/historico-matricula-publicabasica-13.csv
alumnos inscritos en escuelas publicas en milpa alta,"numero de alumnos inscritos en escuelas publicas de nivel basico, medio superior y superior que se encuentran en la alcaldia.",ascendente,numero,2024-08-23 19:00:36.497891,2024-08-23 19:00:36.480990,derecho a la educacion,educacion de calidad,visor alcaldias,anual,eficacia,sep,"sep, dgppee",https://www.planeacion.sep.gob.mx/,https://indicadores.cdmx.gob.mx/dataset/08b4f2db-53e0-46f0-94ea-be6d60e795ed/resource/52dcdf0d-904e-4b36-8e51-f16a3b0d4cd5/download/historico-matricula-publicabasica-9.csv
